Start Loc X,Start Loc Y,Goal Loc X,Goal Loc Y,Obstacle 1 Loc X,Obstacle 1 Loc Y,Obstacle 1 Radius,Obstacle 2 Loc X,Obstacle 2 Loc Y,Obstacle 2 Radius,Obstacle 3 Loc X,Obstacle 3 Loc Y,Obstacle 3 Radius,Obstacle 4 Loc X,Obstacle 4 Loc Y,Obstacle 4 Radius,Predicted Mean X,Predicted Mean Y,Predicted SXX,Predicted SYY,Predicted SXY
0,41,600,467,99,114,55,298,174,48,515,419,34,496,108,21,303.214,182.929,36108.2,28860.5,29181.8
0,467,600,265,379,168,71,330,406,24,309,486,71,478,407,0,295.9,336.6,41435.7,6619.38,-15703.8
0,337,600,310,171,256,60,60,270,45,145,494,67,302,509,63,291.1,354.3,40759.7,1736.01,-5361.15
0,594,600,193,455,384,32,143,554,41,200,60,0,221,107,0,318.818,400.545,40991.8,18418.3,-26760.2
0,95,600,286,307,286,72,163,513,15,314,136,35,585,564,0,245.25,298.083,38979.7,9532.99,9872.61
0,446,600,20,415,307,33,42,149,14,334,273,38,500,395,38,303.182,265.182,43305.4,22610.4,-30278.3
0,407,600,195,162,504,39,77,158,25,113,138,45,102,574,13,303.8,326.1,46562.8,3665.88,-9981.42
0,495,600,421,508,412,48,281,351,21,73,376,69,462,432,0,312.222,479.556,43602.9,932.778,-2596.26
0,2,600,494,118,251,51,244,344,0,578,24,0,31,501,0,329.083,223.833,38592.8,29461.1,31812.7
0,352,600,26,376,455,29,107,531,0,478,546,0,345,342,0,271.5,177.8,46646.3,12892.6,-23165.2
0,76,600,290,314,244,63,95,235,0,152,475,0,1,0,0,315.083,259.75,37310.8,11087.8,14081.2
0,423,600,405,510,260,67,117,155,56,169,386,0,124,93,0,291.778,372.889,45117.9,1439.86,-3070.65
0,209,600,106,195,262,53,262,369,23,228,15,0,584,168,0,280.909,137.636,41394.3,3374.85,-9123.64
0,83,600,114,117,323,0,102,564,0,458,585,0,278,245,0,273.111,108.667,42224.1,2279.5,-3977.46
0,227,600,221,457,503,50,451,506,61,198,221,46,467,225,46,286.9,179.1,44389.2,1298.99,3.56651
0,305,600,350,204,206,39,403,162,57,261,426,72,443,127,39,301.889,363.111,41116.6,1574.36,5296.89
0,141,600,351,200,91,40,293,190,14,362,160,73,461,6,0,313.385,386.308,45611.3,14581.4,19931.9
0,375,600,376,102,434,25,183,41,0,496,361,0,371,21,0,325.3,380.9,44391.1,1453.88,3355.37
0,272,600,215,6,511,0,195,254,0,237,107,0,157,283,0,306.1,201.2,40740.3,2873.51,-8121.36
0,494,600,323,27,340,0,521,203,0,3,291,0,577,29,0,259.5,379.7,44557.2,2978.23,-8699.94
0,69,600,223,376,281,35,327,128,0,412,555,0,464,90,0,273.5,279,43920.3,10710.9,8706.31
0,312,600,415,129,85,12,155,192,14,268,538,58,184,362,53,315.75,394.667,41083.3,13427.5,18012.6
0,386,600,96,479,309,73,338,529,20,234,583,15,298,551,0,248.8,189.4,45955.7,9116.04,-14373.2
0,146,600,81,296,563,16,385,395,12,434,185,0,371,462,0,302.545,200.182,43906.5,4557.56,-470.209
0,430,600,278,283,253,30,37,277,22,79,489,0,416,186,0,296.364,336.818,42452.1,2012.36,-7118.53
0,464,600,480,401,150,32,445,508,61,511,70,26,182,408,0,289.889,480.889,41885.1,1002.86,-2360.26
0,207,600,204,311,430,18,486,250,16,90,266,23,144,239,71,318.083,129.917,40307,3674.08,2691.28
0,499,600,518,404,143,60,533,190,62,394,253,21,100,403,45,284.889,500.111,40549.1,689.861,1977.26
0,525,600,577,144,425,28,284,338,13,116,551,0,312,445,0,322.692,421.385,48518.6,6972.42,-1835.21
0,201,600,228,125,516,56,526,507,44,541,216,13,86,235,0,286.364,268.545,43679.1,3230.07,5211.08
0,506,600,523,540,277,0,47,415,0,321,259,0,378,77,0,284.4,512.4,42823.8,892.711,-2583.07
0,174,600,47,208,455,62,86,168,65,478,448,69,444,126,14,303.7,126,41482,5703.56,-13735.4
0,318,600,274,170,86,29,113,84,37,368,143,0,201,344,0,290.889,314.444,43701.1,1048.28,-5443.57
0,530,600,474,89,439,59,372,497,67,451,196,51,69,295,0,324.667,457.556,42124.5,3899.28,-9169.17
0,313,600,462,249,20,0,494,313,0,496,471,0,0,163,0,311.727,341,43416,4112.6,7959.1
0,124,600,56,73,515,33,83,303,37,66,171,18,351,284,45,325.111,68.7778,43781.4,1383.19,-3286.85
0,543,600,274,103,316,69,562,457,17,557,465,0,581,450,0,326.455,413.545,39721.7,10869.7,-19349.9
0,510,600,69,207,437,38,385,113,14,67,388,16,91,489,25,273.091,280.727,43609.5,25642.8,-32668
0,341,600,276,392,378,39,353,482,52,534,324,19,45,139,0,281.7,309.4,39857.6,2414.27,-8216.53
0,71,600,3,465,370,52,51,163,22,71,441,47,359,239,68,317.545,103.364,40463.7,2792.25,-5615.62
0,289,600,80,213,236,22,277,88,56,178,386,60,476,211,0,276.639,178.373,42432.7,4230.15,-12859
0,87,600,366,344,139,74,269,142,73,189,378,73,152,245,0,340.929,284.214,47708.4,10677,18479.4
0,299,600,365,353,94,43,556,173,39,373,317,73,428,152,0,307.222,358.889,39098.4,2187.36,6776.15
0,92,600,6,92,217,0,338,176,0,102,395,0,66,577,0,328.4,93.7,42515.6,2850.68,-4095.09
