"Start Loc X","Start Loc Y","Goal Loc X","Goal Loc Y","Obstacle 1 Loc X","Obstacle 1 Loc Y","Obstacle 1 Radius","Obstacle 2 Loc X","Obstacle 2 Loc Y","Obstacle 2 Radius","Obstacle 3 Loc X","Obstacle 3 Loc Y","Obstacle 3 Radius","Obstacle 4 Loc X","Obstacle 4 Loc Y","Obstacle 4 Radius","Prev Sample 1 X","Prev Sample 1 Y","Prev Sample 2 X","Prev Sample 2 Y","Prev Sample 3 X","Prev Sample 3 Y","Prev Sample 4 X","Prev Sample 4 Y","Prev Sample 5 X","Prev Sample 5 Y","Next Sample 1 X","Next Sample 1 Y","Next Sample 2 X","Next Sample 2 Y","Next Sample 3 X","Next Sample 3 Y","Next Sample 4 X","Next Sample 4 Y","Next Sample 5 X","Next Sample 5 Y"
0,41,600,467,99,114,55,298,174,48,515,419,34,496,108,21,0,41,33,54,125,58,211,25,272,39,337,69,357,162,372,249,441,318,511,382
0,41,600,467,99,114,55,298,174,48,515,419,34,496,108,21,33,54,125,58,211,25,272,39,337,69,357,162,372,249,441,318,511,382,549,392
0,41,600,467,99,114,55,298,174,48,515,419,34,496,108,21,125,58,211,25,272,39,337,69,357,162,372,249,441,318,511,382,549,392,600,467
0,467,600,265,379,168,71,330,406,24,309,486,71,478,407,0,0,467,58,479,141,432,199,385,240,331,331,295,407,295,459,243,534,251,600,265
0,337,600,310,171,256,60,60,270,45,145,494,67,302,509,63,0,337,78,345,156,370,230,323,230,323,400,355,400,355,441,335,441,335,600,310,
0,200,600,107,521,537,12,3,517,0,493,343,0,211,439,0,0,200,28,178,28,178,85,125,178,149,178,149,266,144,600,107,600,107,600,107,
0,426,600,324,331,313,39,114,208,51,349,314,0,138,168,0,0,426,25,467,104,477,178,476,258,495,333,437,397,379,435,290,513,253,554,250
0,426,600,324,331,313,39,114,208,51,349,314,0,138,168,0,25,467,104,477,178,476,258,495,333,437,397,379,435,290,513,253,554,250,600,324
0,95,600,286,307,286,72,163,513,15,314,136,35,585,564,0,0,95,20,132,70,215,127,292,160,382,248,404,268,385,356,381,454,372,503,291
0,95,600,286,307,286,72,163,513,15,314,136,35,585,564,0,20,132,70,215,127,292,160,382,248,404,268,385,356,381,454,372,503,291,600,286
0,446,600,20,415,307,33,42,149,14,334,273,38,500,395,38,0,446,79,402,129,351,187,279,263,248,352,204,439,178,537,160,539,99,600,20
0,407,600,195,162,504,39,77,158,25,113,138,45,102,574,13,95,404,149,345,237,310,325,325,408,296,473,315,473,315,547,258,547,258,600,195,
0,337,600,166,530,365,47,246,174,72,114,211,0,469,442,0,93,351,184,328,184,328,313,287,313,287,412,292,496,306,496,306,600,166,600,166,
0,235,600,112,141,150,27,435,1,0,359,546,0,11,176,0,0,235,48,226,227,192,314,156,442,65,442,65,442,65,442,65,518,82,518,82,
0,424,600,301,200,309,32,101,220,0,579,455,0,414,178,0,0,424,10,384,81,316,139,340,166,261,237,224,320,202,390,145,430,138,525,161
0,424,600,301,200,309,32,101,220,0,579,455,0,414,178,0,10,384,81,316,139,340,166,261,237,224,320,202,390,145,430,138,525,161,586,234
0,424,600,301,200,309,32,101,220,0,579,455,0,414,178,0,81,316,139,340,166,261,237,224,320,202,390,145,430,138,525,161,586,234,600,301
0,197,600,211,493,27,27,489,459,20,71,448,49,276,84,0,0,197,64,259,138,316,214,353,273,431,354,401,402,320,481,300,559,250,600,211
0,350,600,308,528,371,42,536,504,0,54,467,0,285,285,0,74,322,164,279,259,257,339,253,412,241,466,262,466,262,600,308,600,308,600,308,
