Start Loc X,Start Loc Y,Goal Loc X,Goal Loc Y,Obstacle 1 Loc X,Obstacle 1 Loc Y,Obstacle 1 Radius,Mean X,Mean Y,SXX,SYY,SXY
0,41,600,467,416,439,39,453.714,328.557,41744,23719.7,28205.2
0,301,600,393,358,294,62,363.545,226.545,56745.3,15244.5,11552.8
0,63,600,561,51,559,40,454.714,411.571,49729.6,54297.3,47576.2
0,103,600,592,467,187,59,425,470.214,36661.4,27619.6,27509.1
0,280,600,71,515,349,73,473.6,105,36907,5120,-9462.71
0,120,600,241,346,262,64,493.2,300.9,31851.7,25480.5,5239.8
0,113,600,219,353,157,33,486.556,230.444,36386.3,3660.53,6284.35
0,491,600,53,160,517,27,384.889,167,57818.4,20841.5,-30257.1
0,37,600,424,342,294,59,399.636,372.636,63451.1,25464.3,15494.8
0,166,600,478,62,25,17,426,450.7,34105.8,17022.7,18163.1
0,55,600,556,286,361,35,462.571,400.286,48590,40301.6,41989.8
0,257,600,201,110,329,22,461.571,219.714,44360,5921.24,-5323.48
0,593,600,438,81,408,41,397.778,419.333,50190.9,12404,-4473.29
0,11,600,295,169,75,43,464.857,241.857,44888.5,22411.8,24393.5
0,435,600,564,218,427,56,389.385,390.077,57004.3,20806.6,19888.9
0,33,600,56,67,490,63,522.083,70.25,29550.1,7108.75,-1967.57
0,291,600,258,289,480,48,417.25,242.75,41960.2,3097.36,2456.36
0,502,600,599,429,122,13,436.455,505.091,32118.1,18453.9,9425.65
0,121,600,542,99,275,47,391.667,446.583,46348.2,31552.1,33069.7
0,144,600,215,108,508,58,387.385,315.077,31442.6,15497.1,-7626.45
0,534,600,199,112,117,71,529.833,259.833,28384.7,7794.52,-14517.8
0,327,600,481,315,200,10,409.125,422.375,57918.4,5520.84,17232.9
0,28,600,349,133,382,50,484.455,317.182,30955.5,10440.4,16652.2
0,332,600,183,389,305,10,389.636,182.455,35650.1,4979.07,-9308.02
0,222,600,123,383,347,50,410,103,40801.3,3540.67,-9273
0,292,600,252,381,267,43,446.817,316.156,36728.8,4288.23,234.563
0,533,600,124,225,557,15,458.231,129.231,34120.4,17078,-15409.1
0,396,600,455,450,412,65,438.545,482.182,44537.9,2557.56,331.191
0,24,600,237,484,530,32,498.5,151,32826.7,10652.9,11265
0,262,600,47,368,150,41,440.111,195.333,34033.4,24198.5,-14371
0,559,600,257,248,282,70,445.143,254.429,24848.6,19755,-10693.8
0,422,600,552,506,466,20,448,520.857,43635.3,3121.81,9634.17
0,94,600,30,435,112,17,470,125,30191.1,16293.1,-12177.2
0,48,600,238,505,178,68,495,283.4,37830.7,13160.3,7740.22
0,39,600,368,159,235,30,405.25,368,46817.4,24756,19468
0,311,600,403,556,52,27,455.167,331.5,51952.2,5671.5,2754.7
0,470,600,341,486,400,68,402.5,312.25,59145.4,10859.4,-19306.6
0,483,600,383,271,435,33,474.8,371.6,38740.8,15079.2,4423.36
0,202,600,31,207,383,61,421,141.25,57744.3,15315.6,-20658.1
0,48,600,291,290,349,17,443.636,213.545,43392.9,17008.9,8.21797
0,98,600,539,507,345,69,423.75,360,47355.5,44662.4,42320.9
0,480,600,383,519,506,56,456.333,351.667,35509.8,12989.2,-9586.63
0,279,600,564,237,542,37,454.583,517,41969.7,9512.91,19222.1
0,462,600,546,105,76,46,483.833,536.833,56583,1450.17,8869.17
0,384,600,228,540,249,55,523.788,348.621,25658.4,11056.7,-5152.42
0,439,600,315,342,450,71,441.727,317.818,33184.8,17402.8,4209.04
