"Start Loc X","Start Loc Y","Goal Loc X","Goal Loc Y","Obstacle 1 Loc X","Obstacle 1 Loc Y","Obstacle 1 Radius","Obstacle 2 Loc X","Obstacle 2 Loc Y","Obstacle 2 Radius","Obstacle 3 Loc X","Obstacle 3 Loc Y","Obstacle 3 Radius","Mean X","Mean Y","SXX","SYY","SXY"
0,41,600,467,416,439,39,321,459,69,531,250,62,501.375,401.125,41389.1,21455.8,29474.9
0,301,600,393,358,294,62,99,332,65,525,472,69,363.545,226.545,56745.3,15244.5,11552.8
0,63,600,561,51,559,40,322,141,28,319,517,33,393.5,401.875,68021.1,44516.4,54696.6
0,103,600,592,467,187,59,534,118,63,521,111,30,464.636,472.545,39444.5,26687.3,31465.7
0,280,600,71,515,349,73,158,445,52,445,265,67,495.143,98.7143,32249.1,4875.6,-8003.19
0,120,600,241,346,262,64,50,552,24,363,461,68,398.067,147.867,41714.9,8476.12,7602.58
0,113,600,219,353,157,33,128,385,21,529,88,38,461.111,161.889,35959.6,6698.36,6489.01
0,491,600,53,160,517,27,282,73,24,97,450,27,425.25,188.25,47273.4,22247.9,-31916.5
0,37,600,424,342,294,59,122,204,40,200,346,35,418.513,416.831,45560.8,17913.6,11283.8
0,166,600,478,62,25,17,123,248,57,494,172,74,416.625,465.875,49401.4,18318.4,21563.7
0,55,600,556,286,361,35,253,237,57,286,513,72,468.778,344,50753.2,47702.8,35460.5
0,257,600,201,110,329,22,271,215,64,508,16,10,392.286,284.286,61355.6,13857.2,-11969.9
0,593,600,438,81,408,41,329,458,17,111,509,71,332.748,417.088,71743.7,22495.5,-3187.73
0,562,600,28,402,371,48,301,527,48,165,490,31,359,228.3,53336.7,43258.2,-46159.7
0,282,600,588,324,305,53,327,420,69,387,211,40,443.111,522.778,48725.4,12733.2,23088
0,248,600,336,265,425,72,211,51,24,474,455,51,387.667,326.333,112896,5154.33,22458.2
0,109,600,222,38,510,13,489,211,61,129,429,28,471.444,259.333,42348.3,4856,8129.46
0,578,600,160,313,39,17,267,191,59,352,421,56,345.077,269.615,57798.7,20185.6,-29913.9
0,326,600,544,329,479,13,459,313,28,155,410,41,428.5,340.25,38445.9,22822,9365.77
0,144,600,215,108,508,58,536,450,27,88,73,12,402.714,296.5,28971.4,14218.3,-5437
0,534,600,199,112,117,71,171,148,19,187,206,56,496.882,268.471,24504.9,9336.14,-13579.9
0,327,600,481,315,200,10,107,530,34,307,490,33,398.429,296.5,39419,26620.4,21507.7
0,28,600,349,133,382,50,394,256,65,302,330,25,419,374.385,41502.3,17867.4,1113.67
0,332,600,183,389,305,10,362,293,29,415,458,28,364.6,147.4,47140.5,7993.82,-6455.27
0,222,600,123,383,347,50,184,287,48,112,163,21,365.571,127.286,57936,5855.9,-16073.9
0,292,600,252,381,267,43,141,256,63,96,215,56,375.932,313.5,63085.6,4914,-3348.35
0,533,600,124,225,557,15,420,315,30,478,235,38,420.143,154.929,43711.4,23173.1,-18083.2
0,396,600,455,450,412,65,191,84,55,276,181,72,405.692,474.692,38002.6,3116.9,2815.23
0,24,600,237,484,530,32,87,358,57,211,147,50,373.317,288.89,52409.3,18189.8,466.714
0,262,600,47,368,150,41,74,523,24,91,377,32,335.2,121.1,55410.8,4986.32,-8864.69
0,559,600,257,248,282,70,409,36,12,519,115,63,466.8,321,33460.2,12500.2,-19456.2
0,422,600,552,506,466,20,406,89,56,161,231,61,395.375,504.25,50000.3,5010.79,12449.5
0,94,600,30,435,112,17,197,506,47,392,310,16,466.9,36.1,37741.9,560.1,-4161.32
0,48,600,238,505,178,68,487,544,54,302,276,63,463.6,284,53506.3,11824.7,5877.56
0,39,600,368,159,235,30,268,392,69,426,367,52,440.222,212.444,36174.9,18402.5,17147.6
0,311,600,403,556,52,27,308,281,74,130,286,36,324.857,250.571,74441.1,25335,27460.4
0,470,600,341,486,400,68,417,154,35,471,346,74,406.049,261.639,38105.6,12226.4,7473.69
0,489,600,258,299,213,48,207,256,67,120,277,61,436.5,302,84813.7,15618,-36182.3
0,191,600,387,293,118,71,221,504,68,115,503,15,483.667,379.167,32840.2,3832.88,8331.33
0,483,600,256,295,523,69,454,231,46,300,290,50,434.182,204.545,50971.4,14465.7,-11530.5
0,396,600,325,45,150,16,464,120,71,293,552,20,435.286,373.143,53731.6,3049.14,-2978.88
0,169,600,138,434,336,37,59,533,55,34,307,16,381.143,122,63794.5,2607.33,-3947.67
0,562,600,61,247,124,18,540,409,10,554,442,33,441.281,199.58,48144.4,43559.4,-31880.6
0,155,600,97,155,154,33,104,209,35,259,503,29,383.3,107.6,62451.6,1116.04,-5101.76
