Start Loc X,Start Loc Y,Goal Loc X,Goal Loc Y,Obstacle 1 Loc X,Obstacle 1 Loc Y,Obstacle 1 Radius,Obstacle 2 Loc X,Obstacle 2 Loc Y,Obstacle 2 Radius,Obstacle 3 Loc X,Obstacle 3 Loc Y,Obstacle 3 Radius,Obstacle 4 Loc X,Obstacle 4 Loc Y,Obstacle 4 Radius,Mean X,Mean Y,SXX,SYY,SXY
0,41,600,467,416,439,39,321,459,69,531,250,62,17,91,10,434,310.786,39997.8,37029.7,33723.2
0,4,600,159,171,561,24,281,446,66,85,446,70,44,478,16,483,96,56232,3342.4,10757.4
0,390,600,401,237,379,14,314,184,17,224,99,71,497,194,25,463.846,430.385,32671.5,5468.09,-4596.1
0,189,600,97,40,529,40,240,482,63,465,517,39,542,77,44,499.019,157.194,29000.8,9627.98,-7496.64
0,238,600,326,232,215,22,81,290,73,311,334,61,378,299,60,429.125,340.625,70049.8,7823.41,6456.91
0,507,600,419,204,86,59,475,81,57,169,180,38,146,135,67,421.545,477.909,65691.7,2995.09,-670.146
0,572,600,429,384,69,58,125,213,30,193,293,67,338,139,70,454.6,421.333,43119.1,8908.95,-14352.3
0,0,600,453,510,499,68,272,111,64,314,468,20,212,478,41,464.8,347.9,33955.5,19552.1,21639.5
0,185,600,316,312,412,46,513,305,25,500,301,10,372,381,65,366.909,257.273,42788.5,16764.4,11613.4
0,449,600,215,380,278,10,142,482,71,331,465,28,398,284,50,386.125,236.625,69873.3,8935.13,-18484.5
0,428,600,366,241,471,25,59,512,52,472,156,71,143,380,20,435.462,311.385,36766.8,23013.1,13906.7
0,451,600,510,238,204,39,168,525,41,479,196,20,74,453,55,443.786,462,38297.9,7561.69,6058.38
0,361,600,460,530,532,63,347,448,40,142,109,69,452,270,23,433.619,390.475,31047.7,9993.14,14540.5
0,458,600,213,379,101,22,493,202,67,405,441,67,35,284,17,461.722,305.778,24538.8,4787.83,-9538.36
0,371,600,5,388,422,57,432,501,46,37,158,28,372,241,45,481.182,117.455,38211.4,21510.5,-20933.6
0,105,600,61,464,548,34,366,224,31,516,531,55,524,580,14,419.059,51.8235,44441.9,659.904,-720.489
0,495,600,109,233,319,15,481,202,58,122,116,23,480,177,31,483.902,227.906,28846.9,35368.6,-12057.1
0,275,600,104,295,436,70,119,398,58,68,307,42,244,152,56,347.429,113.429,50537.3,5052.73,1063.88
0,409,600,121,532,66,50,126,393,38,316,497,56,181,488,70,422.438,207.25,51623.1,15604.7,-14749
0,81,600,181,301,176,30,473,206,63,273,95,58,482,111,61,479,243.933,30942.9,14757.6,1982.93
0,222,600,123,383,347,50,184,287,48,112,163,21,97,559,22,435.5,267.7,44461.8,23374.7,-13281.7
0,253,600,193,548,461,30,543,541,17,394,366,48,126,376,30,436.196,250.909,33070.9,2491.26,-4420.68
0,331,600,226,250,528,34,493,166,58,271,552,41,147,434,57,455.615,228.692,43559.9,1941.9,-8129.13
0,482,600,304,96,136,61,327,135,60,194,519,43,48,435,38,362.845,292.847,54600.2,26105.7,-20426
0,109,600,537,536,186,63,570,157,19,268,563,19,278,356,16,322.625,368.75,32681.1,31902.5,20400.3
0,573,600,220,62,375,38,103,72,44,95,167,28,87,190,46,411.5,371.8,40770.1,19257.3,-25679.1
0,463,600,574,435,271,13,59,79,30,206,332,55,249,297,45,426.6,556.8,59947.3,3012.7,12976.7
0,47,600,252,241,199,48,216,245,37,389,449,59,76,109,41,444.5,190.8,53704.9,12196.4,18201
0,486,600,301,332,410,44,382,55,53,284,165,34,483,56,35,391.133,365.733,52187.1,16044.9,-12643
0,101,600,15,331,342,68,67,300,43,238,421,42,203,283,61,464.083,54,34334.8,4281.82,-3114.82
0,399,600,334,92,391,35,128,497,30,64,96,29,533,143,27,314.863,402.804,72271.9,12503.7,-18070.5
0,105,600,288,482,447,49,188,241,28,279,542,34,434,317,36,472.818,251.545,46937,5373.67,13371.7
0,552,600,474,396,55,16,511,125,35,457,380,19,434,287,36,414.13,368.314,32112.1,20883.7,3318.16
0,182,600,330,57,226,52,425,425,66,409,251,14,65,302,60,412.125,329.375,34148.6,17648.5,10860.1
0,147,600,125,353,342,52,555,521,40,494,164,71,370,528,44,373.357,174.429,43204.4,4968.73,5654.14
0,201,600,440,129,200,67,222,332,63,155,269,60,552,327,17,435.857,380.81,28126.3,21986.8,15507.9
0,474,600,302,156,392,12,209,68,16,137,190,16,303,251,52,404.222,215.667,55389.9,17477.3,-5922.04
0,442,600,96,355,212,21,151,444,70,292,306,50,138,88,43,467.333,250,45534,50406.8,-28063.1
0,149,600,330,158,230,37,442,412,28,207,365,62,248,192,30,268.667,372.083,68132.8,17907.4,-6379.61
0,144,600,569,328,459,20,182,149,71,336,452,46,293,495,57,393.364,322.909,41959.4,40513.9,33992.9
0,257,600,29,56,360,17,540,228,30,166,537,61,284,86,56,472.083,157.833,28858.6,18427.2,-11526.9
0,337,600,425,448,338,48,217,27,16,566,495,22,114,214,41,427.778,394.111,50498.9,5454.11,11279.7
0,374,600,74,119,501,42,477,569,13,429,307,67,360,507,28,471.133,180.6,26650.7,28091.7,-14501
0,579,600,167,514,203,28,148,131,50,134,413,29,156,556,28,398.892,204.041,32778.7,17621,-16244.4
0,223,600,552,320,557,26,304,52,38,301,230,11,531,526,35,379.444,484.778,42120.5,11491.9,19229.4
0,94,600,69,200,505,67,540,182,10,63,254,48,126,353,12,364.1,110.3,42020.8,7480.68,-4592.7
0,358,600,496,268,151,31,80,179,39,234,114,20,367,501,38,404.931,351.265,46492.6,16887.8,16778.3
