"Start Loc X","Start Loc Y","Goal Loc X","Goal Loc Y","Obstacle 1 Loc X","Obstacle 1 Loc Y","Obstacle 1 Radius","Mean X","Mean Y","SXX","SYY","SXY"
0,41,600,467,527,478,54,499.8,323.333,32956.2,23886.1,21211.4
0,528,600,500,257,335,199,463.867,523.4,50010.8,1329.26,-4892.87
0,47,600,429,207,132,123,371.25,367.25,73377.5,31265.8,40888.6
0,339,600,92,198,299,194,246.882,349,78997,28490.9,-30019
0,147,600,333,257,376,172,504.909,295,30253.5,11326,10335.1
0,113,600,474,407,184,154,352,394.5,78388.8,19874.3,20878.2
0,553,600,335,526,207,31,490.615,344.308,26530.6,7349.9,-6932.29
0,45,600,273,457,185,132,420.994,259.866,54271.3,8631.35,16301.5
0,272,600,147,481,366,27,428,144.857,50384.3,6117.14,-4393
0,420,600,586,428,314,145,469.5,533.6,48823.2,3421.6,7645
0,296,600,209,258,238,195,483.512,283.767,40719.2,14708.1,-13231.3
0,557,600,488,201,266,120,449.917,507.667,46611,1446.97,-4951.85
0,476,600,379,438,420,64,455.818,424.182,42525.8,7076.76,-6458.06
0,27,600,515,406,162,126,490.857,433.143,47088.8,32678.1,38926.5
0,63,600,161,451,426,72,343.143,112.143,46238.5,5431.81,10383.5
0,370,600,438,197,273,90,375,448.333,72138.8,4483.87,2648.6
0,78,600,535,306,374,65,426.039,377.235,34168.5,32948.4,27864.6
0,402,600,404,197,329,169,422.167,402,53637.6,9679.27,-15050.2
0,300,600,436,144,284,50,457.8,414.6,66217.2,4374.8,15970.2
0,484,600,491,232,214,136,472.091,511.455,42745.3,855.073,-983.046
0,13,600,7,211,535,32,449.5,199.5,53506.7,53873.1,7605.1
0,245,600,302,434,323,23,438.143,247.857,41082.5,2316.14,707.691
0,258,600,477,379,346,125,377.429,445.5,58795.8,4910.42,12626.8
0,553,600,571,417,449,147,405.462,345.769,59794.9,29150.7,3322.53
0,550,600,405,109,451,38,445.444,440.889,35235.5,1882.61,-7713.32
0,565,600,109,247,194,60,436.5,178.75,49164.6,24517.6,-27851.4
0,79,600,482,186,271,142,346.613,402.056,68857.2,23620.3,28964.3
0,210,600,137,538,112,21,453.071,218.429,43007,19444.1,-8203.34
0,311,600,62,162,215,85,360.833,101.167,40786.5,14018.9,-7920.97
0,366,600,23,426,184,51,471.429,154,47636.6,19862.3,-25795.7
0,313,600,479,315,214,133,377.9,448.1,52069.7,6163.66,14693.5
0,385,600,163,485,381,29,465.667,203.167,55661.1,9200.97,-22353.1
0,491,600,441,237,261,143,381,462,53736.3,7612.67,-9097.5
0,568,600,413,305,149,123,494.917,395.333,35551.4,9111.15,-11657.2
0,282,600,314,282,209,64,458.333,432.333,41390,12143.5,9508.37
0,332,600,269,241,217,114,464.492,300.491,43343.5,11116.4,-6209.45
0,415,600,160,399,354,193,423.75,159.188,54455.1,8175.76,-2666.48
0,400,600,72,179,443,72,446.25,145.25,35822.2,8582.93,-15415.6
0,343,600,486,325,350,188,333.832,467.453,68120,4731.45,6662.08
0,489,600,2,203,189,171,489,110.273,28172.8,42378.6,-24698
0,187,600,289,414,334,169,370.595,446.167,55191.6,15282.2,132.785
0,406,600,0,209,266,139,368.667,295.333,103872,64881.3,-40983.3
0,253,600,178,390,384,167,462.429,155.571,48282,5870.62,-6711.12
0,154,600,40,206,325,181,447.1,80.9,34313.2,1853.88,-6393.88
0,124,600,266,215,210,39,518.111,309.667,38156.1,12237.3,11897.8
0,345,600,121,346,484,78,498.625,151.313,21856.4,9267.83,-8097.08
0,500,600,454,371,390,170,340.938,334.063,62126.2,20953.8,-1372.33
0,530,600,241,220,382,133,331.3,259.4,77199.6,32878.7,-33800.4
0,120,600,537,156,205,78,345.125,465.375,52707.8,21023.4,22260.8
0,210,600,488,313,419,98,470.091,392.364,33103.7,13453.1,17949.4
0,552,600,18,241,372,77,339.4,152.867,60915,34717.3,-38497.8
0,225,600,451,458,274,82,454.833,426.5,53641.4,10782.7,21775.7
0,422,600,588,366,506,69,388.927,492.658,41903.2,5427.6,7755.46
0,394,600,90,501,97,78,464.118,269.754,34377.3,29464.9,-20064.8
0,61,600,481,78,288,57,481.727,405.909,29590.6,20370.5,22070.9
0,270,600,222,282,178,136,427.6,330.3,35201.8,19626.9,-8774.98
0,1,600,50,249,139,103,435.692,156.231,35781.6,27318.9,-14331.9
0,233,600,4,224,422,140,486.3,67.6,35847.6,5974.27,-12193.2
0,388,600,355,350,350,195,430.909,233.545,46269.9,23295.7,5473.85
0,232,600,476,397,176,167,406.25,446.125,50351.1,9144.98,12158.1
0,362,600,457,423,393,166,435,516.846,31152.3,3655.47,3695.58
