"Start Loc X","Start Loc Y","Goal Loc X","Goal Loc Y","Obstacle 1 Loc X","Obstacle 1 Loc Y","Obstacle 1 Radius","Length of Solution Path","Solution Loc 1 X","Solution Loc 1 Y","Solution Loc 2 X","Solution Loc 2 Y","Solution Loc 3 X","Solution Loc 3 Y","Solution Loc 4 X","Solution Loc 4 Y","Solution Loc 5 X","Solution Loc 5 Y","Solution Loc 6 X","Solution Loc 6 Y","Solution Loc 7 X","Solution Loc 7 Y","Solution Loc 8 X","Solution Loc 8 Y","Solution Loc 9 X","Solution Loc 9 Y","Solution Loc 10 X","Solution Loc 10 Y","Solution Loc 11 X","Solution Loc 11 Y","Solution Loc 12 X","Solution Loc 12 Y","Solution Loc 13 X","Solution Loc 13 Y","Solution Loc 14 X","Solution Loc 14 Y","Solution Loc 15 X","Solution Loc 15 Y","Solution Loc 16 X","Solution Loc 16 Y","Solution Loc 17 X","Solution Loc 17 Y","Solution Loc 18 X","Solution Loc 18 Y","Solution Loc 19 X","Solution Loc 19 Y","Solution Loc 20 X","Solution Loc 20 Y","Solution Loc 21 X","Solution Loc 21 Y","Solution Loc 22 X","Solution Loc 22 Y","Solution Loc 23 X","Solution Loc 23 Y","Solution Loc 24 X","Solution Loc 24 Y","Solution Loc 25 X","Solution Loc 25 Y","Solution Loc 26 X","Solution Loc 26 Y","Solution Loc 27 X","Solution Loc 27 Y","Solution Loc 28 X","Solution Loc 28 Y","Solution Loc 29 X","Solution Loc 29 Y","Solution Loc 30 X","Solution Loc 30 Y","Solution Loc 31 X","Solution Loc 31 Y","Solution Loc 32 X","Solution Loc 32 Y","Solution Loc 33 X","Solution Loc 33 Y","Solution Loc 34 X","Solution Loc 34 Y","Solution Loc 35 X","Solution Loc 35 Y","Solution Loc 36 X","Solution Loc 36 Y","Solution Loc 37 X","Solution Loc 37 Y","Solution Loc 38 X","Solution Loc 38 Y","Solution Loc 39 X","Solution Loc 39 Y","Solution Loc 40 X","Solution Loc 40 Y","Solution Loc 41 X","Solution Loc 41 Y","Solution Loc 42 X","Solution Loc 42 Y","Solution Loc 43 X","Solution Loc 43 Y","Solution Loc 44 X","Solution Loc 44 Y","Solution Loc 45 X","Solution Loc 45 Y","Solution Loc 46 X","Solution Loc 46 Y","Solution Loc 47 X","Solution Loc 47 Y","Solution Loc 48 X","Solution Loc 48 Y","Solution Loc 49 X","Solution Loc 49 Y","Solution Loc 50 X","Solution Loc 50 Y","Solution Loc 51 X","Solution Loc 51 Y","Solution Loc 52 X","Solution Loc 52 Y","Solution Loc 53 X","Solution Loc 53 Y","Solution Loc 54 X","Solution Loc 54 Y","Solution Loc 55 X","Solution Loc 55 Y","Solution Loc 56 X","Solution Loc 56 Y","Solution Loc 57 X","Solution Loc 57 Y","Solution Loc 58 X","Solution Loc 58 Y","Solution Loc 59 X","Solution Loc 59 Y","Solution Loc 60 X","Solution Loc 60 Y","Solution Loc 61 X","Solution Loc 61 Y","Solution Loc 62 X","Solution Loc 62 Y","Solution Loc 63 X","Solution Loc 63 Y","Solution Loc 64 X","Solution Loc 64 Y","Solution Loc 65 X","Solution Loc 65 Y","Solution Loc 66 X","Solution Loc 66 Y","Solution Loc 67 X","Solution Loc 67 Y","Solution Loc 68 X","Solution Loc 68 Y","Solution Loc 69 X","Solution Loc 69 Y","Solution Loc 70 X","Solution Loc 70 Y","Solution Loc 71 X","Solution Loc 71 Y","Solution Loc 72 X","Solution Loc 72 Y","Solution Loc 73 X","Solution Loc 73 Y","Solution Loc 74 X","Solution Loc 74 Y","Solution Loc 75 X","Solution Loc 75 Y","Solution Loc 76 X","Solution Loc 76 Y","Solution Loc 77 X","Solution Loc 77 Y","Solution Loc 78 X","Solution Loc 78 Y","Solution Loc 79 X","Solution Loc 79 Y","Solution Loc 80 X","Solution Loc 80 Y","Solution Loc 81 X","Solution Loc 81 Y","Solution Loc 82 X","Solution Loc 82 Y","Solution Loc 83 X","Solution Loc 83 Y","Solution Loc 84 X","Solution Loc 84 Y","Solution Loc 85 X","Solution Loc 85 Y","Solution Loc 86 X","Solution Loc 86 Y","Solution Loc 87 X","Solution Loc 87 Y","Solution Loc 88 X","Solution Loc 88 Y","Solution Loc 89 X","Solution Loc 89 Y","Solution Loc 90 X","Solution Loc 90 Y","Solution Loc 91 X","Solution Loc 91 Y","Solution Loc 92 X","Solution Loc 92 Y","Solution Loc 93 X","Solution Loc 93 Y","Solution Loc 94 X","Solution Loc 94 Y","Solution Loc 95 X","Solution Loc 95 Y","Solution Loc 96 X","Solution Loc 96 Y","Solution Loc 97 X","Solution Loc 97 Y","Solution Loc 98 X","Solution Loc 98 Y","Solution Loc 99 X","Solution Loc 99 Y","Solution Loc 100 X","Solution Loc 100 Y"
0,41,600,467,257,569,19,10,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,600,467,595,460,594,456,583,450,572,461,574,431,548,429,545,481,558,562,334,100,0,41
0,301,600,393,369,441,22,11,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,600,393,593,387,591,403,589,342,593,226,495,139,493,53,290,239,189,187,90,174,76,41,0,301
0,63,600,561,286,183,5,7,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,600,561,594,561,592,554,589,571,532,548,558,503,165,399,0,63
0,103,600,592,361,21,8,12,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,600,592,599,598,590,589,587,593,579,590,585,583,596,527,567,497,422,502,376,339,210,277,159,148,0,103
0,280,600,71,353,212,40,15,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,600,71,598,72,589,69,586,68,583,66,582,62,580,49,583,16,575,93,585,102,542,155,477,206,471,79,181,65,143,0,0,280
0,120,600,241,300,30,12,10,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,600,241,599,233,586,221,571,229,562,230,528,287,440,194,341,233,337,248,113,189,0,120
0,113,600,219,258,431,10,10,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,600,219,596,215,589,213,576,210,564,211,523,227,517,280,593,277,509,4,213,28,0,113
0,491,600,53,358,381,33,8,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,600,53,597,59,592,88,594,108,568,106,480,99,387,46,162,217,0,491
0,37,600,424,489,220,25,9,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,600,424,591,425,582,419,580,418,574,443,574,446,574,392,533,255,309,285,0,37
0,166,600,478,320,303,39,10,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,600,478,599,470,589,476,581,468,512,526,485,596,412,594,155,431,281.165,306.583,281.165,306.582,0,166
