"Start Loc X","Start Loc Y","Goal Loc X","Goal Loc Y","Obstacle 1 Loc X","Obstacle 1 Loc Y","Obstacle 1 Radius","Obstacle 2 Loc X","Obstacle 2 Loc Y","Obstacle 2 Radius","Obstacle 3 Loc X","Obstacle 3 Loc Y","Obstacle 3 Radius","Obstacle 4 Loc X","Obstacle 4 Loc Y","Obstacle 4 Radius","Predicted Mean X","Predicted Mean Y","Predicted SXX","Predicted SYY","Predicted SXY"
0,41,600,467,99,114,55,298,174,48,-1,-1,0,-1,-1,0,420,310.583,51902,35557.9,39477.8
0,301,600,393,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,363.545,226.545,56745.3,15244.5,11552.8
0,63,600,561,272,341,74,-1,-1,0,-1,-1,0,-1,-1,0,459.364,486.364,45618.7,24452.3,22633.6
0,88,600,306,519,73,38,-1,-1,0,-1,-1,0,-1,-1,0,463.5,331.667,31331.2,12995.9,13664.3
0,437,600,220,181,248,72,-1,-1,0,-1,-1,0,-1,-1,0,443.8,293.1,52156.8,8867.88,-14855.6
0,206,600,26,496,388,38,200,470,73,352,361,69,-1,-1,0,523.364,115.636,31010.1,8207.46,-7518.95
0,54,600,86,562,492,22,395,504,18,269,145,53,-1,-1,0,385.8,175.9,54889.5,25636.3,88.533
0,225,600,260,292,353,10,62,325,32,-1,-1,0,-1,-1,0,407.75,224.375,55957.6,12530.8,8930.96
0,393,600,486,317,212,61,-1,-1,0,-1,-1,0,-1,-1,0,435,429.556,56111.8,2715.28,1911.88
0,211,600,459,421,518,74,-1,-1,0,-1,-1,0,-1,-1,0,399.467,398.067,41557.6,5024.78,9056.54
0,460,600,315,267,341,33,-1,-1,0,-1,-1,0,-1,-1,0,467.467,274.667,32784.6,8785.81,1488.1
0,412,600,218,450,515,40,93,137,62,-1,-1,0,-1,-1,0,470.3,263.5,38274.7,18814.9,-20441.9
0,371,600,5,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,370.9,145.2,51751.9,14238.6,-15355.5
0,389,600,461,329,464,71,144,438,28,-1,-1,0,-1,-1,0,455,386.75,34914.5,11642.2,11937.8
0,332,600,478,81,379,49,-1,-1,0,-1,-1,0,-1,-1,0,473.778,370.222,50041.4,18843.2,11714.2
0,491,600,566,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,473.111,517.778,44279.4,2909.94,1142.53
0,319,600,128,87,194,35,321,220,73,577,127,14,-1,-1,0,465,298.308,38021.8,20842.6,-6707.58
0,195,600,181,174,215,41,-1,-1,0,-1,-1,0,-1,-1,0,394.4,254.2,64547.4,15718.8,-7062.09
0,13,600,460,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,418,330.25,79548.7,46034.3,60487
0,560,600,327,494,425,53,200,298,47,218,248,43,-1,-1,0,505.25,412.25,41977.6,9109.93,-13177.5
0,207,600,7,157,129,52,567,124,15,238,560,39,-1,-1,0,452.273,65.3636,30272.4,6236.45,-11657
0,65,600,276,346,121,67,-1,-1,0,-1,-1,0,-1,-1,0,499.187,257.1,23007.9,15504.8,13220.5
0,191,600,585,95,536,27,262,362,22,-1,-1,0,-1,-1,0,373.4,495.5,58361.4,18036.5,25564.8
0,421,600,328,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,466.889,326.333,36622.9,17116.8,-9511.71
0,542,600,454,289,414,45,361,215,68,249,534,15,-1,-1,0,444.5,432.5,59632.3,5028.3,-7022.7
0,41,600,549,207,254,21,131,382,35,65,484,10,-1,-1,0,494.556,443.556,35415.5,27764.5,28328.9
0,67,600,531,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,463.688,469.188,27794.4,13988.8,18003.6
0,542,600,92,498,489,17,209,482,60,-1,-1,0,-1,-1,0,453.714,140,50766.9,31969.7,-34570.2
0,236,600,229,484,519,58,375,313,51,-1,-1,0,-1,-1,0,446.636,181.182,39819.3,5508.16,4520.87
0,262,600,47,47,340,13,-1,-1,0,-1,-1,0,-1,-1,0,463.333,106.111,37074.5,16996.6,-15177.9
0,23,600,273,160,228,32,-1,-1,0,-1,-1,0,-1,-1,0,390.538,139.077,43175.6,10182.4,17708.5
0,380,600,17,84,360,41,408,429,72,171,460,33,-1,-1,0,439.4,86.5,52358.3,13079.8,-15103.8
0,395,600,157,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,470.667,231,29294.6,30970.7,-12027.2
0,319,600,452,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,479.143,370.571,46591.8,17707,9961.91
0,503,600,137,405,234,48,246,427,17,188,257,72,-1,-1,0,445.846,290.846,31505.8,33977,-24949.1
0,453,600,566,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,437.25,537.25,85038.9,3272.92,16399.3
0,436,600,204,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,454.7,173.7,40825.6,12380.5,-8508.21
0,133,600,194,196,346,53,398,85,61,-1,-1,0,-1,-1,0,492.222,222.333,21815.9,6119.88,2130.16
0,517,600,242,201,127,62,353,292,62,64,105,59,-1,-1,0,431.773,363.536,48888.9,13600.3,-16420.1
0,69,600,238,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,462.8,184,37104.6,6614.22,8577
0,94,600,42,372,243,47,-1,-1,0,-1,-1,0,-1,-1,0,477,65.5,55118,2271.5,-4171.2
0,289,600,507,372,156,58,130,482,12,353,490,17,-1,-1,0,446.545,484.545,33371.9,7975.87,13459.1
0,285,600,543,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,486.857,505.143,46859.5,9757.48,21072.9
0,112,600,569,258,321,33,-1,-1,0,-1,-1,0,-1,-1,0,425.333,384.833,47316.7,48317,36399.5
0,181,600,311,99,522,60,246,182,43,373,562,23,-1,-1,0,423,258.308,51800,2945.9,7321.58
0,576,600,58,338,271,54,162,147,50,393,86,51,-1,-1,0,449.833,210,26258.2,43142.2,-27948.8
0,94,600,258,521,375,53,-1,-1,0,-1,-1,0,-1,-1,0,470.2,220.4,35682.6,3472.04,5102.24
0,412,600,505,113,268,47,264,82,22,282,391,36,-1,-1,0,333.1,434.9,61319.9,4418.54,5022.46
0,510,600,439,313,140,37,103,494,44,-1,-1,0,-1,-1,0,482.695,403.943,41741.9,8716.98,748.481
0,501,600,225,466,517,33,180,331,15,301,322,56,-1,-1,0,382,233.857,46163,17327.1,-15004.3
0,275,600,570,550,447,19,-1,-1,0,-1,-1,0,-1,-1,0,411.2,535.3,48200,8775.12,15729.4
0,365,600,504,510,362,56,-1,-1,0,-1,-1,0,-1,-1,0,417.813,454.875,30984.6,10376,14923.2
0,245,600,427,430,170,68,-1,-1,0,-1,-1,0,-1,-1,0,479.857,434.714,33857.8,5068.53,6702.88
0,106,600,581,237,494,71,78,432,59,-1,-1,0,-1,-1,0,490.143,438.429,47390.8,39939.6,33236.1
0,379,600,98,286,120,53,-1,-1,0,-1,-1,0,-1,-1,0,496.3,132.6,33072,7661.6,-15252.5
0,411,600,271,139,368,39,175,80,29,76,518,33,-1,-1,0,488.429,228,23281.6,11797.8,-8094.31
0,303,600,4,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,464.333,76.3333,42630.2,12909.5,-22520.1
0,50,600,383,161,238,51,-1,-1,0,-1,-1,0,-1,-1,0,386.923,293.769,35268.2,29837.9,25220.6
0,154,600,132,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,502.1,174.8,32547.7,3220.62,943.689
0,192,600,448,418,123,15,-1,-1,0,-1,-1,0,-1,-1,0,372.5,351,52835.4,19654.9,-3326
0,183,600,204,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,479.875,214.625,40305.8,253.411,2326.52
0,445,600,178,290,139,46,279,250,16,-1,-1,0,-1,-1,0,464.5,219.2,38257.8,6936.18,-13974.2
0,258,600,2,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,478.4,103.1,33452.5,11751.2,-14909.7
0,480,600,192,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,466.25,288.375,48730.8,13509.4,-23361.5
0,337,600,378,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,448.875,297.625,51559,20443.4,11775.9
0,172,600,28,89,551,13,235,200,21,98,272,29,-1,-1,0,469.429,67.2857,45841.6,3702.24,-11023.5
0,160,600,493,524,107,16,183,533,43,-1,-1,0,-1,-1,0,352.556,383.111,48817.8,15198.1,25789.1
0,140,600,598,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,401.25,470.25,78998.3,48548.3,59585.9
0,530,600,48,293,393,29,154,361,28,529,399,32,-1,-1,0,444.923,179,36979.9,28395.2,-25400.7
