Start Loc X,Start Loc Y,Goal Loc X,Goal Loc Y,Obstacle 1 Loc X,Obstacle 1 Loc Y,Obstacle 1 Radius,Mean X,Mean Y,SXX,SYY,SXY
0,41,600,467,257,569,19,490.3,387.1,35524.2,29420.1,29364.6
0,301,600,393,369,441,22,363.545,226.545,56745.3,15244.5,11552.8
0,63,600,561,286,183,5,432.857,457,60046.1,33703,41809.3
0,103,600,592,361,21,8,439.167,445.5,43643.1,33038.6,36871.3
0,280,600,71,353,212,40,471.667,92.1333,38212.5,5176.98,-5114.1
0,120,600,241,300,30,12,407.7,218.4,44099.1,1933.82,6661.91
0,113,600,219,258,431,10,468,177.8,39854,9368.18,10799.9
0,491,600,53,358,381,33,422.5,151.75,51528,21426.8,-28680
0,37,600,424,489,220,25,479.667,346.667,40210.3,18219.8,25023.4
0,166,600,478,320,303,39,389.533,434.017,41685.4,18758.6,20607.8
0,55,600,556,197,425,17,446.571,428.286,54136.6,31397.6,39680.5
0,257,600,201,457,324,18,435.571,204.286,48338,2285.24,-7206.86
0,593,600,438,49,286,2,492,456.667,58174.8,5056.27,-15967.4
0,11,600,295,170,41,22,440.714,301.857,48847.9,19351.8,20089.1
0,435,600,564,119,54,20,339.875,423.875,56328.4,30594.4,26580.7
0,33,600,56,162,426,36,481.923,63.3846,41706.6,3027.42,-4739.8
0,291,600,258,188,502,3,421.375,268.125,41283.1,3680.98,421.232
0,502,600,599,105,420,38,422.636,511.455,36846.7,14222.1,12931.4
0,121,600,542,171,219,8,349.286,452.643,50790.4,21477.8,27263
0,144,600,215,169,115,8,414.933,329.067,28588.9,15631.6,-1867.35
0,534,600,199,282,483,47,497.059,254.176,24413.9,5807.28,-9875.64
0,327,600,481,191,448,31,450.5,395.125,39447.4,19831,12451.6
0,28,600,349,418,407,21,451.385,319.385,44003.3,12991.9,6388.76
0,332,600,183,301,200,37,425.7,195.1,28181.8,9632.99,-9815.19
0,222,600,123,356,393,15,370.375,127,50037.7,4114.86,-11678.3
0,292,600,252,391,178,10,465.833,278.333,53473.8,283.467,-2073.93
0,533,600,124,139,380,38,394.2,162.867,54281.9,25631.4,-24041.3
0,396,600,455,344,60,15,449.769,354.462,37777,14494.9,11269.2
0,24,600,237,345,449,38,513.222,167.667,37124.2,8882,10430.6
0,262,600,47,418,269,15,350.125,91.375,61860.4,5821.41,-12413.3
0,559,600,257,436,269,28,425,259,35220.6,22741.2,-18449.7
0,422,600,552,17,209,8,466,448.444,35745,21799.8,8958.5
0,94,600,30,441,292,42,481.7,51.4,32469.8,3305.6,-5558.53
0,48,600,238,391,108,39,500.4,259.8,35890.3,6636.18,12726.8
0,39,600,368,82,243,23,450,326.667,51700.4,21064.3,29203.4
0,311,600,403,28,156,27,437.333,321.5,48560.3,8875.5,4660.6
0,470,600,341,215,231,36,351,282.9,54661.1,26353.4,14034.8
0,483,600,383,49,396,42,479,423.7,36781.8,4178.68,-8166.89
0,202,600,31,80,184,30,480.625,169.5,41620,31305.1,-7604.07
0,48,600,291,136,326,33,442,191.273,44677.4,10242.4,8501.7
0,98,600,539,375,520,38,461.8,465.3,43506.4,18714.7,21115
0,480,600,383,194,54,25,459,383,44061,2502.33,-7527.83
0,279,600,564,380,364,46,454.583,517,41969.7,9512.91,19222.1
0,462,600,546,365,117,21,499.857,498.143,48949.8,11687.1,3051.19
0,384,600,228,108,239,27,480,266.6,39626.2,3444.04,-10620.1
0,94,600,42,201,201,44,414.75,71.875,39389.8,3620.92,-8574.37
0,484,600,349,205,135,38,460.6,346.2,38587.4,5507.07,-6608.69
0,541,600,491,498,534,42,433.143,501,45973.1,633,-4953.33
0,375,600,88,350,293,47,427.25,148,82120.9,24083.3,-42072
0,486,600,113,464,460,17,402.1,129,36283.2,20168,-18846.4
0,454,600,453,146,85,20,472.778,425.111,44194.4,6596.11,4249.53
0,165,600,60,238,123,27,394.545,120.909,42480.5,11603.3,-17029.1
0,94,600,258,455,140,28,497.714,244,48352.6,5734.67,14115
0,593,600,170,83,387,41,452.75,238.25,51613.1,30350.2,-25075.9
0,460,600,18,257,122,29,476.833,104.5,55505.4,30670.7,-40505.5
0,558,600,248,101,294,42,483.444,272,38231.3,19278,-16921.3
0,223,600,508,529,476,13,464.083,352.833,37579.7,35892,21642.9
0,449,600,395,422,51,45,460.625,315.625,40277.4,16801.4,-5523.16
0,327,600,228,456,561,12,391.8,210.733,61194.5,10887.9,5607.02
0,348,600,148,242,183,41,522.3,156.3,33830,6944.68,-12122.3
0,498,600,296,342,568,30,450.857,306.857,43490.8,9860.14,-15053.9
0,121,600,274,144,93,15,446.727,207.364,46873,5167.65,12186
0,346,600,86,326,378,34,407.273,111.545,35923.2,9635.87,-16293.6
0,405,600,18,235,386,27,416.333,227.444,51046.5,40512.8,-24244.5
0,558,600,68,239,58,49,509.308,127.462,25157.6,29791.8,-22682
0,530,600,457,545,322,16,429.545,465.091,33157.3,10226.7,2849.05
0,183,600,204,423,167,7,492,248.222,35432.5,5993.69,2259
0,445,600,178,483,251,7,481.818,241.818,28775,13645.4,-12194.4
0,258,600,2,292,454,22,479.9,114.4,33203.7,17570.7,-15460.7
0,480,600,192,290,155,34,482.125,265,43009,9779.43,-17882.4
0,337,600,378,246,497,19,483.571,347.857,48063,4920.48,4458.76
0,172,600,28,286,110,46,463.125,135.75,44766.4,14250.8,-14082.3
0,349,600,133,57,228,7,361.6,223.6,63223.3,8197.3,-22119.2
0,48,600,2,140,429,5,362.091,44.9091,56849.7,1030.49,-2591.99
0,10,600,530,259,572,22,503.583,488,29710.3,25519.5,25691.7
0,481,600,22,107,237,21,381.556,207.444,50236,31451.3,-33901.5
0,74,600,164,107,501,19,487.222,119.556,35055.4,1747.03,4572.61
0,418,600,552,279,111,18,399.625,490,58936.8,10442.6,19710.6
0,528,600,330,466,99,8,406.111,301.889,48004.4,13177.9,-11467.1
0,118,600,179,509,55,35,474.182,164.636,29248.8,1400.85,1725.47
0,331,600,231,518,283,37,440.273,158,45285.8,9102.2,-2496.5
0,84,600,262,75,48,32,407,368.667,47535.8,27551.3,10299.4
0,55,600,285,276,312,13,519.267,254.267,22464.8,10803.8,8186.21
0,181,600,233,43,86,30,420.8,283.933,30003.3,9993.21,7544.41
0,236,600,256,439,97,37,491.4,340.5,33077.4,7688.72,2226.67
0,549,600,43,460,246,16,430.556,149.778,50026.8,40657.2,-42130
0,195,600,294,162,263,27,473.25,308.583,34485.5,3896.81,1911.66
0,446,600,473,26,315,23,466.455,460.091,29927.5,9358.09,4618.75
0,469,600,430,79,192,32,455.875,471.5,46578.4,2331.14,-2430.5
0,98,600,291,233,149,8,486.6,289.9,33660.5,15181.7,15867.4
0,332,600,459,275,54,26,456.5,376.5,52181.5,17992.3,10643.9
0,470,600,497,98,430,31,472.75,439,38285.6,2927.71,-1508.43
0,86,600,273,528,491,3,434.6,201.4,63479.8,6077.8,18584.5
0,339,600,86,483,426,43,451.375,109.25,38153.7,11171.4,-18489.4
0,349,600,402,83,292,30,449.8,335.4,34094,15061.6,835.977
0,23,600,420,482,323,6,490.364,318.273,30233.7,17829.8,21113.8
0,130,600,4,545,347,42,463.6,37,67470.3,2766.5,-13578
0,23,600,46,507,435,42,481.25,144.125,41544.2,10566.7,4443.82
0,263,600,324,140,232,35,462.833,260,53687.8,2636,1600.2
0,573,600,300,239,428,46,463.833,331,56524.2,17107.2,-23096.4
0,25,600,222,454,89,10,452.7,238.9,42162.2,15406.5,478.856
0,138,600,249,88,484,4,498,261.7,35381.3,2492.01,7475.89
0,400,600,47,204,241,32,487.143,167.857,46675.8,21726.8,-24215.5
0,580,600,326,70,160,5,461.625,345,40648,11404.6,-15562.9
0,311,600,519,380,331,12,466.75,460,48097.6,6537.43,16040.1
0,542,600,88,394,558,14,437.091,206,46486.3,31013.8,-35727.8
0,122,600,172,508,143,27,408.667,153.167,76887.9,632.567,5714.07
0,56,600,231,47,360,5,466.75,233.25,43746.8,12773.6,5982.07
0,442,600,438,100,175,34,445.909,430.909,38436.9,3358.09,5681.09
0,473,600,206,319,79,22,447.636,364.364,39809.3,29275.3,-12944.2
0,527,600,189,233,251,5,462,273,53462.8,18037.2,-30286.6
0,256,600,555,292,350,39,440.833,477.667,51508.6,12103.9,24265.1
0,214,600,60,69,118,10,394.273,54.2727,36923.4,3120.02,-7858.28
0,538,600,85,297,560,39,507.929,152.214,22769.1,17020.6,-16850.5
0,420,600,88,414,84,43,418.2,272.6,41038.8,19230.3,-20679.9
0,75,600,363,140,323,36,454.846,308.692,37789.6,15843.7,15178.4
0,484,600,472,264,441,21,494.8,439.2,33159.3,6969.96,1024.93
0,253,600,85,497,160,44,439.9,137.5,49783.2,12610.9,-14648.6
