"Start Loc X","Start Loc Y","Goal Loc X","Goal Loc Y","Obstacle 1 Loc X","Obstacle 1 Loc Y","Obstacle 1 Radius","Obstacle 2 Loc X","Obstacle 2 Loc Y","Obstacle 2 Radius","Mean X","Mean Y","SXX","SYY","SXY"
0,41,600,467,416,439,39,321,459,69,497.571,406.429,48254.3,26003.6,35385.4
0,4,600,159,171,561,24,281,446,66,421.875,160.5,53133.6,17749.4,-6249.79
0,390,600,401,237,379,14,314,184,17,486.273,399.364,30072.2,759.455,-495.209
0,189,600,97,40,529,40,240,482,63,431.417,183.75,47094.6,16661.3,-17461.6
0,238,600,326,232,215,22,81,290,73,429.125,340.625,70049.8,7823.41,6456.91
0,507,600,419,204,86,59,475,81,57,496.2,490.8,33883.7,3828.4,-3740.84
0,572,600,429,384,69,58,125,213,30,513,414,32828.9,4218.67,-9538.22
0,0,600,453,510,499,68,272,111,64,459.778,320.778,43096.9,22883.4,29221.2
0,185,600,316,312,412,46,513,305,25,422.778,273.667,34349.4,12256.3,12811
0,449,600,215,380,278,10,142,482,71,444,289.333,53492.8,8523.47,-19932.8
0,428,600,366,241,471,25,59,512,52,485.455,382.818,30731.1,3136.16,-703.509
0,451,600,510,238,204,39,168,525,41,366.316,345.211,51415.1,36265,31552.2
0,361,600,460,530,532,63,347,448,40,466.375,386.125,30892.4,9966.25,11055.7
0,458,600,213,379,101,22,493,202,67,484.874,284.366,33788.2,7070.19,-14245.1
0,371,600,5,388,422,57,432,501,46,442.091,83.3636,47577.1,13027.1,-21001.8
0,105,600,61,464,548,34,366,224,31,503.182,48.2727,34381.4,481.618,-2842.05
0,495,600,109,233,319,15,481,202,58,414.644,142.481,53574.4,13002.3,-11680
0,275,600,104,295,436,70,119,398,58,413.692,176.385,32384.4,3982.59,-8007.2
0,409,600,121,532,66,50,126,393,38,448.833,202.75,51972.5,9783.3,-17634.3
0,81,600,181,301,176,30,473,206,63,422.8,144.405,30382.6,5255.49,2197.18
0,222,600,123,383,347,50,184,287,48,374.909,290.909,59559.7,29351.7,-19389
0,253,600,193,548,461,30,543,541,17,449.9,256.8,31779,3898.62,-3069.13
0,331,600,226,250,528,34,493,166,58,475,194.615,33002.2,5187.59,-33.6663
0,482,600,304,96,136,61,327,135,60,451.1,326.5,32787,3711.17,-9639.61
0,109,600,537,536,186,63,570,157,19,280.429,408.286,41977.6,24002.2,27613.7
0,573,600,220,62,375,38,103,72,44,493.375,335.375,40780.8,17370.6,-19145.6
0,463,600,574,435,271,13,59,79,30,446.286,477.286,42121.9,21023.2,4853.4
0,47,600,252,241,199,48,216,245,37,390.625,244.625,68035.4,14250.8,22011.7
